code,label,channel,type,format,language,source,environment
1-1,Arts & Entertainment,editorial,article,text,en,professional,web
1-2,Automotive,editorial,article,text,en,professional,web
1-3,Business,editorial,article,text,en,professional,web
1-4,Careers,editorial,article,text,en,professional,web
1-5,Education,editorial,article,text,en,professional,web
1-6,Family & Parenting,editorial,article,text,en,professional,web
1-7,Health & Fitness,editorial,article,text,en,professional,web
1-8,Food & Drink,editorial,article,text,en,professional,web
1-9,Hobbies & Interests,editorial,article,text,en,professional,web
1-10,Home & Garden,editorial,article,text,en,professional,web
1-11,Law Government & Politics,editorial,article,text,en,professional,web
1-12,News,editorial,article,text,en,professional,web
1-13,Personal Finance,editorial,article,text,en,professional,web
1-14,Society,editorial,article,text,en,professional,web
1-15,Science,editorial,article,text,en,professional,web
1-16,Pets,editorial,article,text,en,professional,web
1-17,Sports,editorial,article,text,en,professional,web
1-18,Style & Fashion,editorial,article,text,en,professional,web
1-19,Technology & Computing,editorial,article,text,en,professional,web
1-20,Travel,editorial,article,text,en,professional,web
1-21,Real Estate,editorial,article,text,en,professional,web
1-22,Shopping,editorial,article,text,en,professional,web
1-23,Religion & Spirituality,editorial,article,text,en,professional,web
1-24,Uncategorized,editorial,article,text,en,professional,web
2-1,Books & Literature,editorial,article,text,en,professional,web
2-2,Celebrity Fan/Gossip,editorial,article,text,en,professional,web
2-3,Fine Art,editorial,article,text,en,professional,web
2-4,Humor,editorial,article,text,en,professional,web
2-5,Movies,editorial,article,text,en,professional,web
2-6,Music,editorial,article,text,en,professional,web
2-7,Television,editorial,article,text,en,professional,web
2-8,Auto Parts,editorial,article,text,en,professional,web
2-9,Auto Repair,editorial,article,text,en,professional,web
2-10,Buying/Selling Cars,editorial,article,text,en,professional,web
2-11,Car Culture,editorial,article,text,en,professional,web
2-12,Certified Pre-Owned,editorial,article,text,en,professional,web
2-13,Convertible,editorial,article,text,en,professional,web
2-14,Coupe,editorial,article,text,en,professional,web
2-15,Crossover,editorial,article,text,en,professional,web
2-16,Diesel,editorial,article,text,en,professional,web
2-17,Electric Vehicle,editorial,article,text,en,professional,web
2-18,Hatchback,editorial,article,text,en,professional,web
2-19,Hybrid,editorial,article,text,en,professional,web
2-20,Luxury,editorial,article,text,en,professional,web
2-21,MiniVan,editorial,article,text,en,professional,web
2-22,Motorcycles,editorial,article,text,en,professional,web
2-23,Off-Road Vehicles,editorial,article,text,en,professional,web
2-24,Performance Vehicles,editorial,article,text,en,professional,web
2-25,Pickup Trucks,editorial,article,text,en,professional,web
2-26,Road-Side Assistance,editorial,article,text,en,professional,web
2-27,Sedan,editorial,article,text,en,professional,web
2-28,Trucks & Accessories,editorial,article,text,en,professional,web
2-29,Vintage Cars,editorial,article,text,en,professional,web
2-30,Wagon,editorial,article,text,en,professional,web
,Cooking how-to videos,editorial,article,video,en,professional,web
,Sports highlights,editorial,article,video,en,professional,web
,Tech reviews,editorial,article,video,en,professional,web
,Fashion trends,editorial,article,video,en,professional,web
,Travel guides,editorial,article,video,en,professional,web
,Health tips,editorial,article,video,en,professional,web
,Financial advice,editorial,article,video,en,professional,web
,Home improvement,editorial,article,video,en,professional,web
,Pet care,editorial,article,video,en,professional,web
,Gaming news,editorial,article,video,en,professional,web
